Dept,Clin,Cert,Prate,Exper,Gender
1,1,1,6.589114315218713,14,1
3,1,1,7.0402130064013395,14,1
6,1,1,3.4600270602706287,5,1
5,1,1,4.897271470001783,25,1
5,0,1,2.1789527095422088,2,1
6,1,1,2.3204163290307833,16,1
6,0,1,6.734103618142492,2,1
2,1,1,2.6050802769398556,6,1
6,1,1,3.6337968688742137,6,1
2,0,1,2.3630251523004064,23,1
6,1,1,4.823658556162741,37,1
1,1,0,7.41294306986241,10,1
6,1,1,3.969611086390105,21,1
2,0,0,4.119849251470038,21,1
6,1,1,7.564078776537308,6,1
3,1,1,7.8698276376144065,17,1
5,1,1,2.3437194183041576,22,1
5,0,0,3.3402061141001522,32,1
4,1,1,6.790287457934956,14,1
5,0,1,3.2875871246155093,9,1
6,0,1,4.939484186598787,10,1
5,0,0,2.3282226449960444,5,1
5,0,1,3.6591812837854896,16,1
5,0,1,2.5158820414450824,4,1
3,1,1,1.2263962562504744,8,1
5,0,1,4.761888003688354,16,1
6,1,1,5.468124100390096,9,1
2,1,1,8.390238501623807,7,1
6,0,1,2.722892309948794,6,1
5,1,1,4.686634505914331,5,1
6,1,0,5.8477006734577754,12,1
5,0,0,7.326515051349757,7,1
4,0,1,2.135376601540514,10,1
3,0,0,5.421344835374802,6,1
5,1,0,8.130268510771618,9,1
3,1,0,2.8897749881761645,9,1
5,0,0,2.1898780603094927,27,1
2,1,1,4.319308605091909,9,1
1,1,1,4.741314916999842,9,1
5,0,1,4.175579746027701,8,1
2,1,1,3.064441186843127,6,1
1,1,0,3.346431462571484,7,1
1,0,0,2.1895768859711153,13,1
6,1,1,5.006887037533658,9,1
5,1,1,3.9506944602433505,5,1
5,1,1,1.9728495030767625,10,1
2,1,1,3.440679913094158,21,1
6,1,1,7.077186531750908,15,1
3,1,0,4.1445265551616,12,1
5,1,1,7.5918030241935845,7,1
2,0,1,5.952943222407347,6,1
1,1,1,3.198689996103492,8,1
1,1,1,4.796727281164097,8,1
2,0,1,3.3321718730178858,15,1
5,1,1,4.7286124059515915,6,1
1,0,1,4.691307576092727,5,1
4,1,1,7.684731934579564,17,1
5,0,1,3.7272008780403874,27,1
6,1,1,7.527044675209231,24,1
2,1,1,2.919299063771915,16,1
4,1,0,2.4349182508606604,7,1
4,1,1,3.791384714458411,4,1
5,0,1,3.2887058278608388,18,1
