Dept,Gender,Clin,Cert,Prate,Exper
4,0,1,0,5.041016349295985,17
4,0,0,1,6.793797220750645,27
4,0,1,0,4.457038153720323,4
6,1,0,1,4.3155875429060675,6
5,0,0,0,3.671891977261463,27
1,1,0,1,6.914817608124735,5
2,0,0,1,6.8634731666237005,16
5,0,1,1,4.033119259170412,8
2,1,0,0,7.000780806002159,25
5,1,0,1,7.617497298605048,6
4,1,1,0,6.358602068197401,9
5,1,1,1,5.6452868044430575,1
2,1,1,1,5.782341384081342,18
1,1,0,0,4.018495362371849,10
6,1,0,1,4.473378864693068,10
2,0,1,1,7.182062934231747,23
1,1,0,1,2.27834583102448,15
5,1,0,1,7.279023745057139,9
2,0,1,1,4.41071010325869,8
2,1,0,1,6.795260038432598,3
6,1,0,1,4.656088618909203,16
1,1,0,1,4.242992376133793,11
1,1,1,1,1.8632510351384979,5
2,1,1,1,4.179558033339536,23
1,1,0,1,1.8285077992621765,5
5,1,0,1,6.728254894819656,11
1,1,1,0,3.2501424971681043,8
5,1,0,1,7.90204136215093,13
1,1,1,1,6.834445946381362,5
5,1,1,1,7.672482025543217,16
5,1,0,0,4.633199713292714,9
5,0,0,0,4.716061191120342,2
2,1,0,0,3.4769921148958396,4
2,0,1,1,7.916849695731933,11
6,1,0,1,6.257096823974327,4
5,0,0,1,4.559181452157539,6
6,1,0,1,8.54554744899603,11
5,0,1,1,7.541262403084073,12
1,1,0,1,6.813828304383552,5
6,1,1,1,6.679002133118498,13
5,1,1,1,5.26163142997103,7
1,1,1,1,3.665758993868598,22
4,1,0,1,5.106878492803176,8
5,1,0,1,3.030547827158476,21
1,0,0,1,8.583334843967082,14
2,1,0,0,2.5465039381874472,15
6,0,1,0,4.913041817415504,5
5,0,0,0,0.9514171849740221,6
1,1,1,1,8.182333299883402,12
2,1,1,1,3.9668875379510293,6
1,1,0,1,3.2956250244581575,19
5,1,0,1,4.9438025327743675,5
3,1,1,1,7.360806296948607,32
2,0,1,0,3.594027157974762,4
5,1,1,1,7.303633073339405,8
6,0,1,1,7.830527019315048,9
5,1,1,1,3.9284439035068486,4
1,0,0,0,7.554112512084846,12
1,1,1,1,7.410560738304732,8
5,1,1,0,2.8433918394020354,9
5,0,0,0,6.238538235855989,6
2,1,0,1,8.133132835150725,2
4,0,1,0,8.049244238643004,6
5,0,1,1,4.554128552653479,2
2,1,0,1,2.531307446293506,4
4,0,0,0,2.275861562901767,1
2,0,1,1,2.6662494784437074,5
2,0,1,1,4.959140900144918,10
5,1,1,0,7.955194091727706,18
6,0,1,1,4.230980026219615,16
5,0,0,1,6.207514613918022,15
5,1,1,0,5.446525596071869,2
5,1,1,1,6.093999861008204,13
5,1,1,1,1.924100647175929,5
6,0,0,1,2.1709849199827573,11
2,0,1,0,8.062510036953539,11
6,1,0,1,5.733543743628246,4
5,1,0,0,5.7775850365940205,11
6,0,0,1,2.761143933741851,16
4,0,1,0,5.013067591695114,2
2,0,1,1,9.013961548986265,5
2,1,1,1,5.3559855806838295,14
6,0,1,1,4.225684676754682,19
1,1,1,1,7.940255073008134,8
1,1,0,0,4.235335360872493,16
2,1,1,1,2.6605215591077056,27
2,1,1,0,3.3160148160750103,14
6,1,1,0,5.80138328870608,23
5,1,1,1,2.5233119566331075,16
6,1,0,0,4.437051811199702,8
6,1,0,1,4.557056652709056,16
5,0,1,1,3.9207671352663094,5
4,0,1,1,6.791197093302243,18
6,1,1,0,4.12544322414973,14
5,0,1,1,8.204291696971394,5
6,1,1,1,4.446834893758172,14
2,1,1,1,6.4317642849020755,7
6,1,0,1,3.475445863840471,32
6,0,1,0,3.6407390448055987,9
5,0,1,0,4.544734076578332,19
5,0,1,1,8.163604030874367,6
4,0,0,1,4.044258754402579,10
5,1,0,0,5.24388693616063,9
5,1,0,1,4.891714150570503,5
2,0,1,1,6.639102286771338,15
5,1,1,0,7.076093999932397,16
4,1,0,1,5.749081990033551,10
3,1,1,1,6.560302765995149,6
2,0,0,1,4.007199618973334,27
1,1,1,1,4.525355920629041,5
1,0,1,0,6.837397833617315,9
2,0,1,0,2.8913633003064434,5
6,0,0,1,4.020435375525384,18
1,1,0,0,4.2652803011612335,8
2,1,1,1,7.425949578650124,9
5,0,0,0,3.0920771788248786,5
4,0,0,1,4.873939340991475,12
5,1,1,1,2.741132916538026,5
2,1,1,1,6.7444619482245765,10
1,0,1,1,2.6377363298155596,9
5,1,1,1,4.299893911794927,8
6,1,1,0,6.400683938047967,15
1,0,0,1,8.368244880190407,5
3,1,1,1,7.165238439876106,6
5,1,0,0,4.308769711127154,7
1,1,1,1,3.7318093266380923,9
4,1,0,1,7.888078187794476,9
1,1,1,0,1.7646948153133226,10
1,1,0,0,6.8503704364103175,10
